	Origin	Destination	ShortName	TimeRetr	Route	Dist	CurrentTime	TimeRange	url	nDist	nTime
71	9	22	Sky	2015-08-13 15:57:17.605795	I-90 E	36.8 miles	53 min	43 min - 1 h 10 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6824895,-87.6056434,15413m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5197132!2d41.6669027!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	36.8	53
132	9	22	BF_DR	2015-08-13 15:57:52.647697	I-94 E	45.3 miles	1 h 10 min	54 min - 1 h 38 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.5261543,-87.6768379,61613m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5785856!2d41.6407916!3s0x880e20d8ae494f1f:0xe04c790bc9eb5adc!3m4!1m2!1d-87.5822619!2d41.606401!3s0x880e21ad8a1f15ad:0xb8ed44b702fc0f8!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	45.3	70
38	9	23	Sky	2015-08-13 15:56:58.912768	I-90 E	29.8 miles	52 min	41 min - 1 h 8 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6491035,-87.6185008,51875m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5167236!2d41.6583875!3s0x8811d8cbb87ac5b3:0x2c2382e2800a4538!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	29.8	52
53	9	23	BF_DR	2015-08-13 15:57:07.450120	I-94 E	31.7 miles	1 h 3 min	47 min - 1 h 26 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7380262,-87.5343111,73310m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5318612!2d41.6382474!3s0x8811df5c6e568d33:0x5ef39bad60a63fa1!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0	31.7	63
113	9	23	TRI	2015-08-13 15:57:41.692436	I-294 S	36.7 miles	50 min	47 min - 1 h 4 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6626282,-87.7052744,36603m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.4614735!2d41.5764334!3s0x8811de008bb026f9:0x6b96f37205665f14!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	36.7	50
47	9	24	Sky	2015-08-13 15:57:03.889073	I-90 E	62.1 miles	1 h 25 min	1 h 13 min - 1 h 45 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6181585,-87.6107493,26713m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5188504!2d41.6644357!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	62.1	85
60	9	24	BF_DR	2015-08-13 15:57:11.148584	I-94 E	52.6 miles	1 h 27 min	1 h 9 min - 1 h 56 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5804903,-87.4490549,30876m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5820977!2d41.5770576!3s0x880e21d5a282f61d:0x245930a436de9af2!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!2m1!2b1!3e0	52.6	87
78	9	24	TRI	2015-08-13 15:57:21.377866	I-294 S	49.2 miles	1 h 10 min	1 h 5 min - 1 h 28 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5540928,-87.5961123,87235m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.4215734!2d41.3632159!3s0x8811fbad44287dd7:0x4abd99754583ce4!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	49.2	70
45	9	25	TRI	2015-08-13 15:57:02.524796	I-294 S	70.7 miles	1 h 21 min	1 h 16 min - 1 h 40 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.5715924,-87.5353383,25932m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5938202!2d41.5778583!3s0x880e21df3027a6d9:0x3fcc73aa5231a3a9!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	70.7	81
50	9	25	BF_DR	2015-08-13 15:57:05.826124	I-94 E	73.9 miles	1 h 38 min	1 h 20 min - 2 h 6 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.5724186,-87.5773637,25858m/am=t/data=!3m1!1e3!4m29!4m28!1m20!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5963317!2d41.6686151!3s0x880e26c723dda8bf:0x5f993ad976201c08!3m4!1m2!1d-87.5835058!2d41.6034807!3s0x880e21b3ce26641d:0x9641d4b732face91!3m4!1m2!1d-87.5805261!2d41.5803582!3s0x880e21d4b5cbe059:0xfec760626d549dbe!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	73.9	98
156	9	25	Sky	2015-08-13 15:58:06.248321	I-90 E and IN-49 S	71.2 miles	1 h 29 min	1 h 17 min - 1 h 51 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6756518,-87.6016343,28232m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5197354!2d41.6669655!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	71.2	89
7	9	26	TRI	2015-08-13 15:56:41.335073	I-294 S and I-80 E	49.3 miles	57 min	53 min - 1 h 17 min	https://www.google.com/maps/dir/Chicago,+IL+60638/41.5881995,-87.1836656/@41.5957898,-87.5299807,12.25z/data=!4m14!4m13!1m10!1m1!1s0x880e36ce9a6635d9:0x4283db81b4fe041d!2m2!1d-87.7818106!2d41.7923069!3m4!1m2!1d-87.5770404!2d41.5776226!3s0x880e202a57e91849:0xa7d937710c8f9b3a!1m0!3e0	49.3	57
105	9	26	Sky	2015-08-13 15:57:36.741830	I-90 E	46.5 miles	1 h 2 min	52 min - 1 h 20 min	https://www.google.com/maps/dir/Chicago,+IL+60638/41.5881995,-87.1836656/@41.6427884,-87.5716266,11.5z/data=!4m14!4m13!1m10!1m1!1s0x880e36ce9a6635d9:0x4283db81b4fe041d!2m2!1d-87.7818106!2d41.7923069!3m4!1m2!1d-87.5201459!2d41.6681278!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m0!3e0	46.5	62
158	9	26	BF_DR	2015-08-13 15:58:07.433450	I-94 E	52.5 miles	1 h 13 min	58 min - 1 h 43 min	https://www.google.com/maps/dir/Chicago,+IL+60638/41.5881995,-87.1836656/@41.6935494,-87.5318801,11.25z/data=!4m14!4m13!1m10!1m1!1s0x880e36ce9a6635d9:0x4283db81b4fe041d!2m2!1d-87.7818106!2d41.7923069!3m4!1m2!1d-87.597768!2d41.6702848!3s0x880e26c723dda8bf:0x5f993ad976201c08!1m0!3e0	52.5	73
72	10	20	Sky	2015-08-13 15:57:18.066864	I-290 E	28.3 miles	1 h 1 min	45 min - 1 h 38 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/41.658386,+-87.559140/@41.6973502,-87.7142825,30722m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5597205!2d41.711458!3s0x880e27be1c00d14d:0x499a631c9cbd6f52!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	28.3	61
89	10	20	BF_DR	2015-08-13 15:57:27.598851	I-290 E and I-94 E	29.8 miles	1 h 1 min	42 min - 1 h 48 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/41.658386,+-87.559140/@41.6941489,-87.5788938,15384m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5989594!2d41.6911182!3s0x880e26f4b2808481:0x9b3e8c89cc2c6bac!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	29.8	61
15	10	21	BF_DR	2015-08-13 15:56:45.677163	I-94 E	47.2 miles	1 h 21 min	59 min - 2 h 11 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6207812,-87.5938164,25865m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5785848!2d41.6407079!3s0x880e20d8ae494f1f:0xe04c790bc9eb5adc!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	47.2	81
129	10	21	Sky	2015-08-13 15:57:51.043408	I-90 E	43.0 miles	1 h 14 min	58 min - 1 h 52 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6454464,-87.5498908,18326m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5195869!2d41.6665449!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	43.0	74
159	10	21	TRI	2015-08-13 15:58:08.050923	I-294 S	53.2 miles	1 h 17 min	1 h - 1 h 43 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.5716497,-87.588582,10891m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5863757!2d41.5776055!3s0x880e21d7b0bc12cf:0xa0b8a57b2f292f8a!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	53.2	77
18	10	22	BF_DR	2015-08-13 15:56:47.369432	I-94 E	49.3 miles	1 h 25 min	1 h 2 min - 2 h 17 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6291861,-87.5621111,21742m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5785283!2d41.6324809!3s0x880e20e1dad260e9:0x19dae52afa417271!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!2m1!2b1!3e0	49.3	85
74	10	22	TRI	2015-08-13 15:57:19.111359	I-294 S	55.3 miles	1 h 21 min	1 h 4 min - 1 h 48 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.5750033,-87.5846406,2288m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5822087!2d41.5776138!3s0x880e21d5a5ecfe3d:0xe79a7a2011bc7c45!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	55.3	81
120	10	22	Sky	2015-08-13 15:57:45.972435	I-90 E	40.8 miles	1 h 7 min	52 min - 1 h 44 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6729015,-87.5786733,25874m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5194493!2d41.6661553!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	40.8	67
17	10	23	Sky	2015-08-13 15:56:46.818586	I-290 E	35.5 miles	1 h 18 min	58 min - 2 h 2 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7088662,-87.6173476,21732m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5277106!2d41.7062937!3s0x8811d86f6f51c9fb:0xf900ffb80cb82882!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0	35.5	78
35	10	23	BF_DR	2015-08-13 15:56:56.975673	I-94 E	35.8 miles	1 h 17 min	56 min - 2 h 6 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.8553953,-87.6805164,15354m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.6417362!2d41.847019!3s0x880e2c5cea843f17:0x5b90ac626c6a17cf!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0	35.8	77
2	10	24	Sky	2015-08-13 15:56:38.702725	I-90 E	66.2 miles	1 h 39 min	1 h 22 min - 2 h 19 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6562402,-87.4399829,36662m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.521294!2d41.6713761!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	66.2	99
19	10	24	BF_DR	2015-08-13 15:56:47.911840	I-94 E	56.7 miles	1 h 42 min	1 h 18 min - 2 h 36 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5576306,-87.6230552,30884m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5823486!2d41.5762083!3s0x880e21d589ede51b:0x929e14f726562377!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	56.7	102
137	10	24	TRI	2015-08-13 15:57:55.388189	I-294 S	62.4 miles	1 h 38 min	1 h 19 min - 2 h 8 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5819637,-87.6154883,10913m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5894024!2d41.577395!3s0x880e21d85f4e0f81:0x338534fa89809f87!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	62.4	98
58	10	25	Sky	2015-08-13 15:57:10.120686	I-90 E	75.3 miles	1 h 43 min	1 h 26 min - 2 h 25 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6670246,-87.5752207,21793m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5196769!2d41.6667998!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	75.3	103
62	10	25	TRI	2015-08-13 15:57:12.339826	I-294 S	84.0 miles	1 h 49 min	1 h 31 min - 2 h 20 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.603016,-87.6500442,30831m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.6814751!2d41.5900496!3s0x880e22bcf4cff9ab:0x47a433f6a4e72a98!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	84.0	109
116	10	25	BF_DR	2015-08-13 15:57:43.624238	I-94 E	78.0 miles	1 h 52 min	1 h 29 min - 2 h 46 min	https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6130191,-87.7121141,87224m/data=!3m2!1e3!4b1!4m16!4m15!1m5!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0	78.0	112
66	10	26	TRI	2015-08-13 15:57:14.761640	I-294 S and I-80 E	62.3 miles	1 h 23 min	1 h 7 min - 1 h 51 min	https://www.google.com/maps/dir/Illinois/41.5881995,-87.1836656/@41.5835745,-87.5983989,13z/data=!4m14!4m13!1m10!1m1!1s0x880fcb3aab19bf79:0xc0579f47b57bbe43!2m2!1d-87.805741!2d41.9087615!3m4!1m2!1d-87.5840727!2d41.5776086!3s0x880e21d5d85ef9ef:0x75a5225f57eddfd3!1m0!3e0	62.3	83
83	10	26	Sky	2015-08-13 15:57:24.279137	I-90 E	50.3 miles	1 h 15 min	59 min - 1 h 53 min	https://www.google.com/maps/dir/Illinois/41.5881995,-87.1836656/@41.7138835,-87.6695308,9.75z/data=!4m14!4m13!1m10!1m1!1s0x880fcb3aab19bf79:0xc0579f47b57bbe43!2m2!1d-87.805741!2d41.9087615!3m4!1m2!1d-87.519663!2d41.6667606!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m0!3e0	50.3	75
139	10	26	BF_DR	2015-08-13 15:57:56.608131	I-94 E	56.3 miles	1 h 28 min	1 h 5 min - 2 h 21 min	https://www.google.com/maps/dir/Illinois/41.5881995,-87.1836656/@41.6589406,-87.5715078,11z/data=!4m11!4m10!1m5!1m1!1s0x880fcb3aab19bf79:0xc0579f47b57bbe43!2m2!1d-87.805741!2d41.9087615!1m0!2m1!2b1!3e0	56.3	88
